danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.638,0.47,0.193,0.442,179.818,111640,0.09523809523809523,42,13,13,14,4.083333333333333,High,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.409,0.137,0,0.106,162.08,225076,0.25,1200,11,11,16,5,High,No,No,Yes,No,No,No,Yes,Yes,0
0.232,0.0228,0.91,0.23,203.341,188000,NA,NA,8,9,12,3.5833333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.695,0.336,0.00264,0.422,79.109,280000,0,37,6,10,11,3.5833333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.448,0.665,2.55e-5,0.304,172.004,237147,0,37,11,12,10,4.75,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.486,0.881,0,0.667,144.997,480707,0.1306532663316583,199,18,20,20,4.916666666666667,High,No,No,No,Yes,No,Yes,Yes,Yes,0
0.563,0.592,5.08e-5,0.136,104.016,267933,0.09302325581395349,172,7,6,11,2.4166666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240,5,7,11,3.8333333333333335,Low,Yes,Yes,No,Yes,No,No,Yes,Yes,0
0.547,0.368,0,0.367,96.05,203613,0.05263157894736842,76,16,22,24,4.583333333333333,High,Yes,No,No,No,No,No,Yes,Yes,0
0.64,0.743,0,0.361,122.035,262533,0.14,1600,5,6,10,2.6666666666666665,Low,Yes,Yes,No,No,No,No,Yes,Yes,0
0.651,0.402,8.09e-5,0.256,119.878,345600,0.21153846153846154,208,8,9,13,5,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.351,0.447,0,0.305,103.03,265253,0.013157894736842105,76,4,9,10,4,High,No,No,No,Yes,No,No,Yes,No,1
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,4,4,6,2.8333333333333335,Low,Yes,Yes,No,No,No,No,Yes,Yes,1
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896,13,13,13,4.666666666666667,High,No,No,No,Yes,No,No,Yes,No,0
0.687,0.792,0,0.671,100.015,214290,0.0875,80,21,21,11,3.75,Low,No,No,No,Yes,Yes,No,No,Yes,1
0.299,0.329,0.0105,0.392,132.282,218187,NA,NA,4,6,9,3.3333333333333335,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
0.611,0.39,0,0.617,163.897,159512,0,57,7,12,10,4.583333333333333,High,Yes,No,Yes,No,Yes,No,Yes,Yes,1
0.631,0.205,0,0.456,130.604,220127,0.058823529411764705,119,18,20,20,3.25,Low,Yes,No,Yes,No,No,No,Yes,No,0
0.675,0.444,0,0.356,125.884,216373,0.1,70,7,9,11,4.083333333333333,High,No,No,No,No,No,No,Yes,Yes,0
0.389,0.591,6.53e-5,0.252,138.902,271806,0,268,12,21,16,4.583333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.444,0.367,0,0.217,162.785,267476,0.04950495049504951,101,8,12,13,3.9166666666666665,High,No,No,Yes,No,No,No,Yes,No,1
0.377,0.595,0,0.264,144.464,290900,0.015151515151515152,264,5,7,7,3.75,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.607,0.303,0,0.555,97.383,144533,0.6764705882352942,68,4,13,7,3,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.067,0.941,3.59e-4,0.236,187.874,392307,0,67,12,12,8,4.083333333333333,High,Yes,No,No,No,No,No,Yes,No,0
0.493,0.882,2.97e-6,0.685,123.985,222489,0.0847457627118644,59,7,12,14,4.5,High,No,No,No,No,No,No,Yes,No,0
0.305,0.462,0.122,0.181,113.47,281213,0.013157894736842105,76,10,12,12,3.75,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1
0.372,0.00798,0.925,0.0784,95.141,214133,NA,NA,5,5,6,4.5,High,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.58,0.0842,0.00126,0.388,92.123,200813,NA,NA,5,6,5,4.916666666666667,High,Yes,Yes,No,No,No,No,Yes,Yes,1
0.379,0.29,0.00106,0.169,166.467,201080,0.10344827586206896,232,6,9,9,3.0833333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.191,0.829,2.11e-5,0.191,116.007,276667,NA,NA,24,13,12,3.5,Low,No,No,No,No,Yes,No,Yes,Yes,1
0.592,0.637,0,0.565,159.701,185093,0.07246376811594203,276,12,13,16,3.5833333333333335,Low,Yes,No,No,Yes,No,No,Yes,Yes,1
0.488,0.453,0.691,0.129,138.077,253853,0.046511627906976744,43,14,14,14,4.083333333333333,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.339,0.143,6.36e-4,0.0948,101.213,413320,0.06060606060606061,99,17,13,17,3.6666666666666665,Low,No,No,No,No,Yes,No,Yes,Yes,1
0.564,0.714,0,0.33,175.924,204013,0.01680672268907563,119,6,19,22,3.4166666666666665,Low,No,No,No,No,No,No,Yes,Yes,1
0.753,0.663,0.0598,0.149,90.011,194427,0.05714285714285714,175,5,8,9,3.75,Low,Yes,No,No,Yes,No,No,Yes,No,1
0.479,0.182,0.916,0.0478,128.576,248853,NA,NA,17,19,21,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.687,0.792,0,0.864,133.962,227333,0.07352941176470588,68,7,18,14,3.75,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,4,5,6,2.1666666666666665,Low,Yes,Yes,No,Yes,No,Yes,Yes,Yes,0
0.664,0.724,0.162,0.239,88.51,318267,0.1,70,5,9,10,3.8333333333333335,Low,Yes,No,Yes,No,No,No,No,Yes,1
0.318,0.0927,0,0.208,121.439,261818,NA,NA,5,19,19,3.9166666666666665,High,No,No,No,No,No,No,Yes,Yes,1
0.346,0.139,7.73e-5,0.116,136.168,217947,0.034482758620689655,58,5,7,9,3.9166666666666665,High,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.568,0.748,2.18e-6,0.623,96.59,256733,0.07692307692307693,208,4,6,13,4.25,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.537,0.81,1.4e-5,0.547,152.996,233893,0.07228915662650602,83,11,18,16,5,High,Yes,No,No,No,No,No,Yes,No,1
0.787,0.599,0,0.847,135.995,266827,0.0625,192,9,20,26,4.166666666666667,High,Yes,No,No,No,No,No,Yes,Yes,0
0.475,0.432,0,0.648,94.605,153467,0,43,9,8,8,3.5,Low,Yes,No,No,No,No,No,Yes,No,0
0.565,0.654,1.8e-6,0.235,111.968,265427,0.1450381679389313,524,9,8,10,3.3333333333333335,Low,Yes,No,No,No,No,Yes,Yes,Yes,1
0.651,0.402,8.09e-5,0.256,119.878,345600,0.21153846153846154,208,15,24,25,4.666666666666667,High,No,No,No,Yes,No,No,Yes,Yes,1
0.439,0.772,0,0.888,151.746,180160,0.038461538461538464,52,20,18,23,4.333333333333333,High,No,No,No,No,No,No,Yes,No,1
0.485,0.619,3.31e-6,0.416,138.017,242373,0.05042016806722689,119,6,7,15,3.5,Low,No,No,No,Yes,No,No,Yes,Yes,0
0.344,0.325,0.0239,0.0773,118.556,312307,0.02702702702702703,37,19,20,24,4.083333333333333,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350,5,11,15,2.3333333333333335,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.642,0.423,0,0.505,149.61,351467,0.0851063829787234,141,10,13,14,4.083333333333333,High,Yes,Yes,No,No,No,No,Yes,Yes,0
0.477,0.396,0,0.273,132.089,291000,0.031746031746031744,126,4,4,7,3.25,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.38,0.663,0.791,0.429,173.139,249667,0.05714285714285714,70,14,18,17,4,High,Yes,No,No,Yes,No,No,Yes,No,1
0.512,0.255,0.532,0.215,115.144,253560,NA,NA,10,10,11,3.1666666666666665,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.511,0.566,0,0.218,83.903,239836,0.10606060606060606,132,20,20,25,4.416666666666667,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592,16,22,24,2.3333333333333335,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.481,0.262,0.0114,0.375,122.883,334744,0.1276595744680851,47,7,7,10,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.64,0.743,0,0.361,122.035,262533,0.14,1600,9,11,17,4.166666666666667,High,Yes,No,No,No,No,No,Yes,No,0
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896,6,5,10,2.4166666666666665,Low,Yes,Yes,No,No,Yes,No,Yes,Yes,1
0.71,0.743,4.06e-4,0.866,120.277,266160,NA,NA,4,6,5,4.916666666666667,High,Yes,No,Yes,Yes,No,No,Yes,Yes,0
0.552,0.839,7.23e-4,0.576,135.466,245373,0.039473684210526314,76,10,11,10,3.3333333333333335,Low,No,No,No,Yes,No,Yes,Yes,Yes,0
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA,23,26,28,5,High,No,No,No,No,No,No,Yes,Yes,1
0.583,0.428,0,0.254,99.605,225241,0.061224489795918366,392,9,15,12,4.583333333333333,High,Yes,No,Yes,No,No,No,No,Yes,0
0.33,0.348,0,0.0674,136.289,317827,0.3076923076923077,65,6,20,28,4.5,High,Yes,No,No,Yes,No,No,Yes,Yes,0
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414,7,8,8,3.6666666666666665,Low,No,No,No,No,Yes,No,Yes,No,1
0.312,0.499,0,0.191,148.173,273640,0.09649122807017543,114,12,13,19,4.083333333333333,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.463,0.179,1.73e-5,0.183,80.747,199920,0.07936507936507936,63,7,8,10,4.333333333333333,High,Yes,Yes,Yes,No,No,No,No,Yes,0
0.552,0.643,0.74,0.212,120.012,272800,0.11764705882352941,136,5,13,17,4.333333333333333,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.282,0.132,0.104,0.0379,136.186,283464,0.3125,32,9,16,18,3.75,Low,Yes,Yes,No,No,No,No,Yes,Yes,1
0.313,0.286,0.0451,0.287,80.925,208504,0,30,7,10,11,3.4166666666666665,Low,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0
0.734,0.766,0.00138,0.6,127.986,215227,0.22784810126582278,79,11,14,15,4,High,No,No,No,Yes,No,No,Yes,Yes,0
0.671,0.153,5.53e-5,0.658,85.6,211933,0.01098901098901099,364,8,11,13,NA,NA,No,Yes,No,Yes,No,No,Yes,Yes,0
0.63,0.44,3.87e-6,0.343,98.082,283707,0.08955223880597014,134,10,20,24,3,Low,Yes,Yes,No,Yes,No,No,Yes,Yes,0
0.666,0.37,0.0235,0.318,134.631,161840,NA,NA,10,16,19,4.333333333333333,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.526,0.646,0.00145,0.179,118.973,254147,0.07246376811594203,69,4,6,13,2.5833333333333335,Low,No,No,No,No,No,No,Yes,Yes,1
0.682,0.173,3.26e-5,0.236,112.663,260285,0.058823529411764705,272,6,24,23,3.5833333333333335,Low,Yes,No,Yes,No,Yes,No,No,Yes,1
0.572,0.319,0,0.359,110.922,218492,0.11578947368421053,95,11,12,13,3,Low,Yes,No,Yes,Yes,Yes,No,No,Yes,1
0.186,0.29,0,0.0776,68.992,262533,0.08196721311475409,61,16,21,18,4,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.736,0.502,0.0105,0.533,105.003,283840,0.08045977011494253,87,7,9,14,3,Low,No,No,Yes,No,Yes,Yes,Yes,No,0
0.568,0.748,2.18e-6,0.623,96.59,256733,0.07692307692307693,208,19,24,26,3.75,Low,No,No,No,No,Yes,No,No,No,1
0.415,0.132,0.137,0.122,169.006,336760,0.09375,32,15,19,24,4.666666666666667,High,Yes,Yes,No,No,No,No,No,Yes,1
0.622,0.392,0,0.274,77.991,253000,0.056179775280898875,89,5,16,17,3.3333333333333335,Low,No,No,No,No,No,No,Yes,Yes,1
0.409,0.137,0,0.106,162.08,225076,0.25,1200,13,12,20,4.583333333333333,High,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.429,0.594,4.95e-6,0.236,150.22,265000,0.08108108108108109,296,4,8,10,3.5,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
0.553,0.586,0,0.443,126.684,196373,0.07368421052631578,380,17,17,21,4.416666666666667,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.426,0.838,3.02e-6,0.182,81.089,288600,0,61,4,17,10,3.3333333333333335,Low,Yes,No,No,No,No,No,Yes,No,1
0.306,0.31,2.72e-5,0.126,207.508,214369,0.0958904109589041,292,7,14,20,3,Low,No,No,No,No,No,No,Yes,Yes,1
0.327,0.938,3.79e-6,0.326,162.937,289560,NA,NA,10,13,17,4.5,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.377,0.255,2.08e-4,0.37,125.004,334570,0.08823529411764706,136,6,11,16,2.5833333333333335,Low,Yes,Yes,No,No,No,No,Yes,Yes,1
0.422,0.226,0.949,0.223,113.163,221839,NA,NA,6,17,16,4,High,Yes,No,No,No,Yes,No,Yes,Yes,1
0.479,0.545,0,0.244,74.897,252733,0.17272727272727273,440,8,12,15,4.833333333333333,High,Yes,Yes,No,No,No,No,Yes,Yes,1
0.209,0.412,0.15,0.162,86.26,305747,0.11428571428571428,35,18,21,18,2.9166666666666665,Low,No,No,No,Yes,No,No,No,Yes,1
0.571,0.8,7.29e-5,0.335,104.377,311867,0.017241379310344827,58,8,10,8,3.25,Low,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
0.521,0.633,0,0.287,141.887,293040,0.06140350877192982,114,16,20,20,5,High,Yes,No,No,Yes,No,No,No,Yes,1
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA,8,20,23,4.583333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.457,0.515,0,0.222,74.984,142973,0.10256410256410256,39,18,16,21,2.5833333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.689,0.4,1.37e-4,0.559,112.64,255040,NA,NA,14,14,16,4.333333333333333,High,No,No,Yes,No,Yes,No,Yes,Yes,1
0.528,0.233,1.08e-4,0.208,89.044,273933,0.04285714285714286,70,6,10,11,3.0833333333333335,Low,Yes,No,No,Yes,NA,No,Yes,No,0
0.322,0.28,1.1e-6,0.175,85.794,248467,0.031914893617021274,94,4,4,7,2,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.599,0.785,0.00336,0.52,140.046,233640,0.24778761061946902,113,4,5,6,2.6666666666666665,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.586,0.23,4.89e-6,0.13,71.422,243200,0.32,50,8,16,20,3.3333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.649,0.718,4.26e-6,0.477,79.993,249293,0.029585798816568046,169,9,14,15,4.25,High,Yes,No,No,No,No,No,Yes,Yes,0
0.36,0.684,0,0.2,77.15,342653,0.030864197530864196,162,10,9,16,3.9166666666666665,High,Yes,No,No,No,No,No,Yes,Yes,1
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350,5,7,7,3.3333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.834,0.696,0.713,0.685,123.369,442133,NA,NA,7,8,9,3.6666666666666665,Low,Yes,No,No,No,No,No,No,Yes,0
0.715,0.715,0,0.506,134.923,238747,0.06451612903225806,93,15,18,19,4.583333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.565,0.654,1.8e-6,0.235,111.968,265427,0.1450381679389313,524,25,24,21,4.416666666666667,High,Yes,No,No,No,No,No,Yes,No,1
0.563,0.388,0,0.736,92.825,189733,0.07058823529411765,85,7,7,8,3.9166666666666665,High,Yes,No,No,No,No,No,Yes,Yes,1
0.781,0.262,0,0.338,111.92,193827,0.0958904109589041,73,14,16,16,3.5833333333333335,Low,Yes,Yes,No,No,No,No,Yes,Yes,1
0.363,0.129,1.52e-6,0.147,80.367,198147,0.07692307692307693,26,9,15,17,3.9166666666666665,High,Yes,No,No,No,No,No,Yes,Yes,1
0.29,0.574,0,0.48,197.431,282360,0.18181818181818182,66,18,18,19,5,High,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.358,0.48,0.00428,0.356,120.317,413947,0.06493506493506493,77,11,14,18,4,High,Yes,No,Yes,No,No,No,No,No,0
0.507,0.443,7.34e-6,0.157,145.018,230107,0.11224489795918367,98,4,5,5,3.4166666666666665,Low,No,No,Yes,No,No,No,Yes,Yes,0
0.226,0.136,8.07e-6,0.263,79.37,173267,0.15625,32,12,23,22,4.416666666666667,High,No,No,No,No,No,No,No,No,1
0.551,0.636,0.00203,0.153,124.996,268467,0.04,50,8,9,9,4,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.466,0.759,0,0.328,160.033,264373,NA,NA,4,4,8,3.25,Low,Yes,Yes,NA,No,Yes,Yes,No,No,1
0.451,0.951,2.39e-6,0.442,162.065,213933,0.1650485436893204,103,14,18,14,3.6666666666666665,Low,No,No,No,No,No,No,Yes,Yes,0
0.479,0.545,0,0.244,74.897,252733,0.17272727272727273,440,5,6,7,3.4166666666666665,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,8,8,11,4.833333333333333,High,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.599,0.642,3.33e-5,0.349,115.412,222533,NA,NA,4,6,10,2.5833333333333335,Low,No,Yes,Yes,Yes,No,No,Yes,Yes,0
0.514,0.771,0,0.359,136.058,249754,0.07058823529411765,85,10,8,8,3.8333333333333335,Low,Yes,Yes,No,No,Yes,No,Yes,Yes,0
0.565,0.942,3.93e-4,0.569,137.972,235000,NA,NA,5,6,7,4.25,High,No,No,Yes,No,Yes,No,Yes,Yes,0
0.298,0.151,0.00602,0.139,158.407,282680,0.2682926829268293,41,11,6,6,3.6666666666666665,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
0.292,0.324,4.73e-4,0.384,176.631,201373,0.11666666666666667,60,5,5,8,3.75,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
0.339,0.541,0.158,0.11,128.103,350173,0.23529411764705882,17,7,9,15,4.333333333333333,High,No,No,No,Yes,Yes,No,No,Yes,0
0.316,0.769,0,0.127,122.507,321147,0.13636363636363635,66,6,13,11,2.3333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.409,0.137,0,0.106,162.08,225076,0.25,1200,16,25,25,5,High,Yes,No,No,No,No,No,Yes,No,1
0.377,0.595,0,0.264,144.464,290900,0.015151515151515152,264,8,9,10,3.9166666666666665,High,Yes,No,No,Yes,Yes,No,Yes,Yes,0
0.671,0.153,5.53e-5,0.658,85.6,211933,0.01098901098901099,364,4,14,22,4.333333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.862,0.479,0.00126,0.925,109.878,301520,NA,NA,4,4,4,3.5,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.567,0.745,0,0.903,125.575,180133,NA,NA,14,14,13,3.4166666666666665,Low,Yes,No,No,Yes,No,No,No,Yes,0
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882,6,12,14,4.25,High,Yes,No,No,No,No,No,Yes,Yes,1
0.0876,0.0865,0.896,0.0298,86.437,596227,NA,NA,5,12,14,2.3333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.424,0.437,0.336,0.131,174.127,208173,0.12121212121212122,33,12,14,19,4.5,High,Yes,No,No,No,No,No,Yes,No,1
0.428,0.276,5.33e-6,0.0382,99.195,280000,NA,NA,4,8,10,3.5833333333333335,Low,No,Yes,Yes,No,No,No,Yes,Yes,0
0.379,0.29,0.00106,0.169,166.467,201080,0.10344827586206896,232,12,13,13,2.8333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.407,0.147,2.89e-6,0.0765,141.284,229400,0.09090909090909091,22,4,8,8,3.3333333333333335,Low,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0
0.592,0.457,3.31e-4,0.225,146.04,110886,0.13333333333333333,90,15,18,20,3.4166666666666665,Low,Yes,No,No,No,No,No,Yes,No,1
0.461,0.834,1.14e-5,0.471,135.007,261154,0.02631578947368421,114,4,5,9,3.4166666666666665,Low,Yes,No,No,Yes,No,No,Yes,Yes,0
0.39,0.649,0,0.144,121.16,299760,NA,NA,16,25,21,3.5833333333333335,Low,No,No,No,Yes,No,No,Yes,Yes,1
0.556,0.538,0,0.291,143.95,223347,0.11009174311926606,109,17,14,15,5,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.37,0.666,0,0.194,163.796,244999,0.010869565217391304,92,10,11,11,4.75,High,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240,5,6,8,3.1666666666666665,Low,Yes,Yes,No,No,No,No,No,Yes,1
0.554,0.462,0,0.388,162.549,237370,0.10256410256410256,39,20,22,24,4.25,High,No,No,No,Yes,No,Yes,Yes,Yes,0
0.52,0.964,1.71e-4,0.0998,114.989,272000,0.08928571428571429,56,6,6,9,3.3333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.449,0.227,0,0.216,137.856,227660,0,44,9,10,11,4.666666666666667,High,No,Yes,Yes,No,No,No,Yes,Yes,0
0.64,0.743,0,0.361,122.035,262533,0.14,1600,13,14,15,3.6666666666666665,Low,No,Yes,No,No,No,No,Yes,Yes,1
0.54,0.265,0,0.423,61.975,168547,0.10638297872340426,47,21,16,18,4.666666666666667,High,Yes,No,Yes,No,Yes,No,Yes,Yes,0
0.658,0.591,5.27e-6,0.326,114.078,323747,0.045454545454545456,132,6,12,14,2.1666666666666665,Low,Yes,No,No,No,No,No,Yes,No,1
0.525,0.335,6.15e-4,0.41,110.522,233333,0.04395604395604396,91,4,4,7,2.25,Low,Yes,No,No,No,No,No,Yes,Yes,1
0.429,0.661,1.3e-4,0.285,173.365,266773,0,42,17,19,13,4,High,Yes,No,No,No,Yes,Yes,Yes,No,1
0.601,0.59,0,0.274,151.952,206453,0.006578947368421052,152,28,20,28,4.666666666666667,High,No,No,No,No,No,No,No,No,1
0.532,0.906,0,0.547,140.684,274627,0.06545454545454546,275,8,8,9,5,High,Yes,No,No,No,No,No,Yes,Yes,1
0.618,0.793,0.0154,0.459,101.015,347526,0.047058823529411764,85,8,11,13,4.5,High,Yes,No,No,No,No,No,Yes,Yes,1
0.573,0.781,2.64e-5,0.343,139.934,231907,0.04285714285714286,70,8,12,14,4.25,High,Yes,No,No,No,No,Yes,Yes,Yes,0
0.403,0.3,0,0.234,162.874,245427,0.08955223880597014,67,7,11,23,4.833333333333333,High,No,No,No,No,No,No,Yes,No,1
0.641,0.667,0,0.51,102.002,259453,0.029239766081871343,684,5,5,5,4,High,Yes,No,No,No,Yes,No,Yes,Yes,0
0.682,0.173,3.26e-5,0.236,112.663,260285,0.058823529411764705,272,19,25,18,4.416666666666667,High,Yes,Yes,No,Yes,No,No,Yes,Yes,1
0.625,0.546,0,0.109,90.03,244356,0.04132231404958678,121,7,8,7,3.8333333333333335,Low,Yes,No,No,Yes,No,No,Yes,No,1
0.491,0.139,0.11,0.109,125.086,241467,0.1794871794871795,39,5,6,13,4.083333333333333,High,Yes,No,No,No,No,No,No,Yes,1
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592,7,10,12,3.1666666666666665,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896,4,7,13,4.083333333333333,High,Yes,Yes,No,Yes,Yes,No,Yes,Yes,0
0.279,0.074,0.648,0.11,165.27,250573,NA,NA,12,15,17,4,High,Yes,No,No,No,No,No,Yes,Yes,0
0.435,0.155,0,0.0935,128.532,287693,0.06756756756756757,74,6,7,7,2,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,268,5,7,8,3.5833333333333335,Low,No,No,No,Yes,Yes,Yes,Yes,Yes,0
0.756,0.609,0.00474,0.537,117.023,155720,0,57,17,18,18,4,High,Yes,No,No,No,Yes,Yes,Yes,Yes,1
0.301,0.571,0.8,0.0412,178.084,315987,0.060240963855421686,83,13,14,16,4.5,High,Yes,No,Yes,No,No,No,No,Yes,1
0.81,0.436,1.51e-4,0.446,119.973,259413,0.0196078431372549,102,7,10,11,3.8333333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,1
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,8,8,10,4,High,Yes,No,Yes,No,Yes,No,Yes,Yes,1
0.598,0.343,0.0219,0.419,103.984,202107,0.043478260869565216,184,19,21,22,5,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.468,0.508,0.801,0.305,120.854,219000,0.03773584905660377,53,14,14,22,4,High,No,No,No,Yes,No,No,Yes,No,1
