danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.197,0.546,0.071,0.267,82.716,212627,0.07692307692307693,13,4,7,12,5,High,No,No,No,Yes,No,No,Yes,Yes,1
0.487,0.311,4.66e-4,0.252,139.878,261267,0.06306306306306306,111,10,12,9,3.5,Low,Yes,No,Yes,No,No,No,No,Yes,1
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756,9,14,25,4.166666666666667,High,No,No,No,No,No,No,Yes,Yes,0
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA,4,5,9,3.9166666666666665,High,Yes,No,Yes,No,No,No,Yes,Yes,0
0.409,0.404,0,0.288,80.356,259693,NA,NA,6,8,9,3.8333333333333335,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,0
0.302,0.151,0.893,0.039,131.443,275280,0.04225352112676056,71,4,12,11,3.4166666666666665,Low,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0
0.299,0.168,0.0106,0.101,138.573,261200,0.09803921568627451,51,5,8,9,3.75,Low,Yes,Yes,No,No,No,No,Yes,Yes,0
0.819,0.697,3.39e-4,0.787,119.005,214347,0.22826086956521738,92,20,22,17,4.25,High,Yes,No,No,Yes,No,No,Yes,No,1
0.448,0.0954,0.517,0.0384,110.625,530027,0.08888888888888889,45,10,10,12,3.6666666666666665,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.403,0.654,4.08e-5,0.197,74.617,354547,0.03571428571428571,224,7,11,13,4.333333333333333,High,Yes,No,No,No,No,No,Yes,Yes,0
0.606,0.328,0.00131,0.105,119.932,180933,0.036585365853658534,82,12,11,16,4.833333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.529,0.96,0.927,0.69,98.717,175461,0.10416666666666667,96,19,19,18,4,High,No,No,No,No,No,No,Yes,No,1
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240,7,8,9,2.5833333333333335,Low,No,No,No,No,No,No,Yes,Yes,0
0.64,0.743,0,0.361,122.035,262533,0.14,1600,12,11,13,3.5,Low,No,No,No,No,No,No,Yes,Yes,0
0.593,0.75,3.32e-5,0.45,118.005,208107,0.49056603773584906,212,7,4,9,1.8333333333333333,Low,Yes,No,No,No,Yes,No,Yes,No,0
0.552,0.668,0.382,0.153,114.991,265334,0.2,95,4,7,8,3.0833333333333335,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.653,0.488,0,0.492,151.594,231445,0,163,10,11,13,4.833333333333333,High,No,No,No,Yes,No,No,No,Yes,0
0.624,0.257,7.56e-5,0.681,85.617,183667,0.011363636363636364,88,4,5,6,3,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.373,0.609,4.27e-4,0.354,179.955,270680,0.058823529411764705,68,17,20,21,4.75,High,Yes,No,No,No,No,No,Yes,Yes,1
0.733,0.673,7.96e-6,0.487,128.009,214699,0,55,11,14,10,4.083333333333333,High,Yes,No,No,No,Yes,Yes,Yes,Yes,0
0.694,0.311,0.35,0.616,102.142,240773,0.045454545454545456,88,7,8,12,4.25,High,Yes,Yes,Yes,No,No,No,Yes,Yes,1
0.599,0.531,2.32e-5,0.53,124.513,228933,NA,NA,4,18,17,4.333333333333333,High,No,Yes,No,No,No,No,Yes,No,0
0.162,0.293,0.00221,0.0406,77.962,220147,NA,NA,7,12,10,4.166666666666667,High,No,No,No,Yes,No,No,Yes,Yes,0
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350,5,6,9,2.4166666666666665,Low,No,Yes,No,No,No,No,Yes,Yes,0
0.375,0.304,0.303,0.147,147.989,336613,0.0136986301369863,73,11,8,9,3.75,Low,Yes,No,No,No,No,No,Yes,Yes,0
