danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount
0.497,0.734,0,0.384,139.096,196480,0.0861244019138756,209
0.486,0.45,2.06e-6,0.55,100.456,254293,NA,NA
0.739,0.341,1.1e-6,0.231,80.958,266000,NA,NA
0.598,0.343,0.0219,0.419,103.984,202107,0.043478260869565216,184
0.552,0.173,4.01e-4,0.0854,76.97,212040,0.08,50
0.591,0.934,1.81e-6,0.452,155.968,283733,0.0625,224
0.581,0.163,0,0.475,77.748,189400,0.1518987341772152,79
0.474,0.707,0,0.224,83.235,252107,0.04477611940298507,268
0.35,0.113,2.68e-5,0.151,128.271,218907,0.041666666666666664,48
0.581,0.732,0.00254,0.36,89.994,183333,0.07246376811594203,138
0.681,0.83,0.00376,0.817,103.777,250133,0.04477611940298507,67
0.584,0.611,1.52e-6,0.188,79.572,241560,0.023809523809523808,84
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308
0.584,0.536,0,0.44,126.996,243227,0,139
0.849,0.731,8.87e-5,0.751,97.922,313520,NA,NA
0.47,0.431,0,0.289,157.98,295502,0.02040816326530612,882
0.612,0.568,0,0.23,116.247,346164,NA,NA
0.345,0.27,0.112,0.173,79.649,277260,0.07857142857142857,140
0.689,0.4,1.37e-4,0.559,112.64,255040,NA,NA
0.513,0.479,0.706,0.282,128.041,288750,0.24242424242424243,33
0.575,0.461,1.75e-5,0.266,79.971,222868,NA,NA
0.236,0.207,8.15e-6,0.0757,147.518,217224,0,66
0.509,0.629,1.99e-6,0.237,80.012,209307,0.22535211267605634,71
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.56,0.442,1.71e-5,0.212,146.448,309600,0.0625,432
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414
0.327,0.938,3.79e-6,0.326,162.937,289560,NA,NA
0.623,0.93,1.64e-6,0.287,120.119,205613,0.07462686567164178,67
0.291,0.79,5.61e-6,0.513,155.667,289907,NA,NA
0.56,0.17,6.75e-6,0.303,94.956,236293,NA,NA
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404
0.513,0.199,0,0.228,134.148,226280,0.21153846153846154,52
0.54,0.584,0.00296,0.244,139.261,386493,0.04878048780487805,82
0.432,0.261,0.00342,0.273,89.567,258653,0.10891089108910891,404
0.422,0.264,0,0.331,119.93,269560,0.11688311688311688,308
0.828,0.581,9.03e-4,0.145,133.999,200627,0.13333333333333333,105
0.296,0.683,0.195,0.272,95.483,280627,0.15492957746478872,71
0.74,0.613,0.0037200000000000002,0.473,75.023,166606,0.15476190476190477,756
0.299,0.613,0.00359,0.306,166.96,306411,0.0379746835443038,79
0.453,0.911,0,0.218,137.011,186147,0.24675324675324675,77
0.581,0.717,1.86e-4,0.316,107.884,236440,0.1346153846153846,52
0.208,0.424,7.01e-5,0.247,148.875,231280,0.04411764705882353,68
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.623,0.917,4.43e-5,0.674,120.017,209240,0.31521739130434784,92
0.442,0.384,7.7e-5,0.216,123.281,235987,NA,NA
0.408,0.729,4.02e-6,0.279,145.068,304280,0.09259259259259259,54
0.268,0.292,0.885,0.0593,114.904,275013,0.22,50
0.498,0.104,7.86e-5,0.205,124.001,199931,0.3142857142857143,35
0.677,0.66,0.262,0.383,139.06,250713,0.17721518987341772,79
0.306,0.31,2.72e-5,0.126,207.508,214369,0.0958904109589041,292
0.168,0.302,0.79,0.205,102.041,356333,0,16
0.129,0.358,0,0.172,75.048,241067,0.016666666666666666,60
0.348,0.907,0,0.177,185.406,212413,0.19696969696969696,66
0.467,0.324,0.0248,0.166,94.301,320267,NA,NA
0.445,0.537,1.6e-5,0.131,122.764,244360,0.09195402298850575,87
0.0878,0.15,0.897,0.0381,85.438,135453,0,14
0.524,0.417,1.19e-6,0.109,93.59,254493,0.0379746835443038,79
0.291,0.79,5.61e-6,0.513,155.667,289907,NA,NA
0.376,0.373,0.832,0.111,116.074,430000,0.030303030303030304,33
0.566,0.76,0,0.478,96.713,212967,NA,NA
0.602,0.609,2e-4,0.337,93.06,329160,0.05982905982905983,117
0.526,0.328,0,0.11,116.068,526387,0,130
0.472,0.153,1.95e-6,0.0745,104.551,195426,NA,NA
0.651,0.568,3.48e-6,0.188,134.828,315373,0.04838709677419355,62
0.593,0.75,3.32e-5,0.45,118.005,208107,0.49056603773584906,212
0.623,0.17,0.00103,0.0949,75.961,260507,0.020833333333333332,48
0.739,0.341,1.1e-6,0.231,80.958,266000,NA,NA
0.6,0.869,0.441,0.56,117.064,215267,NA,NA
0.535,0.73,0,0.723,74.89,281133,0.0718954248366013,306
0.403,0.654,4.08e-5,0.197,74.617,354547,0.03571428571428571,224
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.614,0.471,0,0.32,80.024,210507,0.08333333333333333,48
0.127,0.011,0.972,0.0367,71.198,246627,0,1
0.641,0.667,0,0.51,102.002,259453,0.029239766081871343,684
0.711,0.292,0,0.194,103.951,296800,0.09219858156028368,141
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.742,0.833,0,0.816,113.375,188987,NA,NA
0.428,0.244,1.44e-4,0.39,100.495,179773,0.1935483870967742,31
0.552,0.643,0.74,0.212,120.012,272800,0.11764705882352941,136
0.622,0.54,0.00771,0.847,130.879,264907,0.020833333333333332,48
0.581,0.965,0,0.686,99.348,193507,0.13043478260869565,69
0.688,0.782,0,0.453,146.324,343032,0.1033210332103321,271
0.429,0.594,4.95e-6,0.236,150.22,265000,0.08108108108108109,296
0.583,0.428,0,0.254,99.605,225241,0.061224489795918366,392
0.4,0.613,0.0114,0.521,207.576,240400,0.058823529411764705,68
0.496,0.82,0.246,0.549,110.977,249013,0.07407407407407407,81
0.638,0.47,0.193,0.442,179.818,111640,0.09523809523809523,42
0.409,0.137,0,0.106,162.08,225076,0.25,1200
0.232,0.0228,0.91,0.23,203.341,188000,NA,NA
0.695,0.336,0.00264,0.422,79.109,280000,0,37
0.448,0.665,2.55e-5,0.304,172.004,237147,0,37
0.486,0.881,0,0.667,144.997,480707,0.1306532663316583,199
0.563,0.592,5.08e-5,0.136,104.016,267933,0.09302325581395349,172
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240
0.547,0.368,0,0.367,96.05,203613,0.05263157894736842,76
0.64,0.743,0,0.361,122.035,262533,0.14,1600
0.651,0.402,8.09e-5,0.256,119.878,345600,0.21153846153846154,208
0.351,0.447,0,0.305,103.03,265253,0.013157894736842105,76
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896
0.687,0.792,0,0.671,100.015,214290,0.0875,80
0.299,0.329,0.0105,0.392,132.282,218187,NA,NA
0.611,0.39,0,0.617,163.897,159512,0,57
0.631,0.205,0,0.456,130.604,220127,0.058823529411764705,119
0.675,0.444,0,0.356,125.884,216373,0.1,70
0.389,0.591,6.53e-5,0.252,138.902,271806,0,268
0.444,0.367,0,0.217,162.785,267476,0.04950495049504951,101
0.377,0.595,0,0.264,144.464,290900,0.015151515151515152,264
0.607,0.303,0,0.555,97.383,144533,0.6764705882352942,68
0.067,0.941,3.59e-4,0.236,187.874,392307,0,67
0.493,0.882,2.97e-6,0.685,123.985,222489,0.0847457627118644,59
0.305,0.462,0.122,0.181,113.47,281213,0.013157894736842105,76
0.372,0.00798,0.925,0.0784,95.141,214133,NA,NA
0.58,0.0842,0.00126,0.388,92.123,200813,NA,NA
0.379,0.29,0.00106,0.169,166.467,201080,0.10344827586206896,232
0.191,0.829,2.11e-5,0.191,116.007,276667,NA,NA
0.592,0.637,0,0.565,159.701,185093,0.07246376811594203,276
0.488,0.453,0.691,0.129,138.077,253853,0.046511627906976744,43
0.339,0.143,6.36e-4,0.0948,101.213,413320,0.06060606060606061,99
0.564,0.714,0,0.33,175.924,204013,0.01680672268907563,119
0.753,0.663,0.0598,0.149,90.011,194427,0.05714285714285714,175
0.479,0.182,0.916,0.0478,128.576,248853,NA,NA
0.687,0.792,0,0.864,133.962,227333,0.07352941176470588,68
0.345,0.0581,3.66e-4,0.304,174.117,189507,NA,NA
0.664,0.724,0.162,0.239,88.51,318267,0.1,70
0.318,0.0927,0,0.208,121.439,261818,NA,NA
0.346,0.139,7.73e-5,0.116,136.168,217947,0.034482758620689655,58
0.568,0.748,2.18e-6,0.623,96.59,256733,0.07692307692307693,208
0.537,0.81,1.4e-5,0.547,152.996,233893,0.07228915662650602,83
0.787,0.599,0,0.847,135.995,266827,0.0625,192
0.475,0.432,0,0.648,94.605,153467,0,43
0.565,0.654,1.8e-6,0.235,111.968,265427,0.1450381679389313,524
0.651,0.402,8.09e-5,0.256,119.878,345600,0.21153846153846154,208
0.439,0.772,0,0.888,151.746,180160,0.038461538461538464,52
0.485,0.619,3.31e-6,0.416,138.017,242373,0.05042016806722689,119
0.344,0.325,0.0239,0.0773,118.556,312307,0.02702702702702703,37
0.265,0.127,0.391,0.0757,147.734,371320,0.05555555555555555,1350
0.642,0.423,0,0.505,149.61,351467,0.0851063829787234,141
0.477,0.396,0,0.273,132.089,291000,0.031746031746031744,126
0.38,0.663,0.791,0.429,173.139,249667,0.05714285714285714,70
0.512,0.255,0.532,0.215,115.144,253560,NA,NA
0.511,0.566,0,0.218,83.903,239836,0.10606060606060606,132
0.518,0.401,1.85e-4,0.171,92.148,216533,0.16216216216216217,592
0.481,0.262,0.0114,0.375,122.883,334744,0.1276595744680851,47
0.64,0.743,0,0.361,122.035,262533,0.14,1600
0.38,0.573,2.38e-6,0.0901,74.988,303133,0.21428571428571427,896
0.71,0.743,4.06e-4,0.866,120.277,266160,NA,NA
0.552,0.839,7.23e-4,0.576,135.466,245373,0.039473684210526314,76
0.45,0.335,1.25e-6,0.25,109.908,281235,NA,NA
0.583,0.428,0,0.254,99.605,225241,0.061224489795918366,392
0.33,0.348,0,0.0674,136.289,317827,0.3076923076923077,65
0.209,0.418,0.00195,0.123,138.265,295533,0.06521739130434782,414
0.312,0.499,0,0.191,148.173,273640,0.09649122807017543,114
0.463,0.179,1.73e-5,0.183,80.747,199920,0.07936507936507936,63
0.552,0.643,0.74,0.212,120.012,272800,0.11764705882352941,136
0.282,0.132,0.104,0.0379,136.186,283464,0.3125,32
0.313,0.286,0.0451,0.287,80.925,208504,0,30
0.734,0.766,0.00138,0.6,127.986,215227,0.22784810126582278,79
0.671,0.153,5.53e-5,0.658,85.6,211933,0.01098901098901099,364
0.63,0.44,3.87e-6,0.343,98.082,283707,0.08955223880597014,134
0.666,0.37,0.0235,0.318,134.631,161840,NA,NA
0.526,0.646,0.00145,0.179,118.973,254147,0.07246376811594203,69
0.682,0.173,3.26e-5,0.236,112.663,260285,0.058823529411764705,272
0.572,0.319,0,0.359,110.922,218492,0.11578947368421053,95
0.186,0.29,0,0.0776,68.992,262533,0.08196721311475409,61
